[2023-09-18 23:32:25,469] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:32:25] "[33mDELETE /deletar_cliente?nome=leandro HTTP/1.1[0m" 404 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:32:30,312] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:32:30] "OPTIONS /deletar_cliente?nome=aa HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:32:30,327] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:32:30] "DELETE /deletar_cliente?nome=aa HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:32:45,255] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:32:45] "GET /clientes HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:37:26,322] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:37:26] "GET /clientes HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:16,216] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:16] "GET /clientes HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:17,722] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:17] "GET /clientes HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:23,932] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:23] "OPTIONS /deletar_cliente?nome=leandro HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:23,939] WARNING del_cliente() L128  Erro ao deletar cliente #'leandro', Cliente não encontrado na base :/ - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\app.py L128 
[2023-09-18 23:38:23,941] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:23] "[33mDELETE /deletar_cliente?nome=leandro HTTP/1.1[0m" 404 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:27,732] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:27] "OPTIONS /deletar_cliente?nome=leandro HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:27,739] WARNING del_cliente() L128  Erro ao deletar cliente #'leandro', Cliente não encontrado na base :/ - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\app.py L128 
[2023-09-18 23:38:27,739] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:27] "[33mDELETE /deletar_cliente?nome=leandro HTTP/1.1[0m" 404 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:36,522] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:36] "OPTIONS /deletar_cliente?nome=dd HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:36,542] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:36] "DELETE /deletar_cliente?nome=dd HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
[2023-09-18 23:38:44,789] INFO _log() L187  127.0.0.1 - - [18/Sep/2023 23:38:44] "OPTIONS /deletar_cliente?nome=bb HTTP/1.1" 200 - - call_trace=C:\Users\leand\Desktop\sprint 1\mvp_app_api\env\Lib\site-packages\werkzeug\_internal.py L187 
